serial,metro,ownershp,taxincl,rent,hhincome,sex,age,birthqtr,marst,hispan,racamind,racasian,racblk,racwht,empstat,labforce,ftotinc,incwelfr,uhrswork,weight1
289802,3,1,0,0,70000,1,72,2,1,0,1,1,1,2,3,1,70000,0,0,0.5
289802,3,1,0,0,70000,2,70,1,1,0,1,1,1,2,3,1,70000,0,0,0.5
289802,3,1,0,0,70000,2,73,1,6,0,1,1,1,2,3,1,70000,0,0,0.5
289805,0,1,0,0,12600,2,86,4,5,0,1,1,2,1,3,1,12600,0,0,0.5
289806,1,1,1,0,63000,2,27,3,1,0,1,1,1,2,1,2,63000,0,40,0.5
289806,1,1,1,0,63000,1,29,2,1,0,1,1,1,2,1,2,63000,0,40,0.5
289808,4,1,0,0,9700,2,26,4,6,0,1,1,2,1,1,2,9700,1200,32,0.5
289808,4,1,0,0,9700,1,5,2,6,0,1,1,2,1,0,0,9700,99999,0,0.5
289808,4,1,0,0,9700,2,3,4,6,0,1,1,2,1,0,0,9700,99999,0,0.5
289809,4,2,0,600,13400,1,30,4,6,0,1,1,2,1,1,2,13400,0,10,0.5
289811,1,2,0,200,23000,2,46,4,6,0,1,1,2,1,1,2,23000,0,40,0.5
289813,0,2,0,650,14800,2,86,4,5,0,1,1,1,2,3,1,14800,0,0,0.5
289814,3,1,1,0,35500,2,65,4,5,0,1,1,1,2,3,1,35500,0,0,0.5
289815,2,1,0,0,30000,2,75,2,6,0,1,1,1,2,3,1,30000,0,0,0.5
289817,0,2,0,380,270,2,29,3,6,0,1,1,2,1,2,2,270,0,40,0.5
289817,0,2,0,380,270,1,34,1,6,0,1,1,2,1,3,1,270,0,0,0.5
289817,0,2,0,380,270,2,4,4,6,0,1,1,2,1,0,0,270,99999,0,0.5
289818,4,1,0,0,64900,1,67,2,5,0,1,1,1,2,3,1,64900,0,0,0.5
289820,3,1,0,0,53000,1,39,4,6,4,1,1,1,1,1,2,27000,0,36,0.5
289820,3,1,0,0,53000,1,41,3,6,1,1,1,1,1,1,2,26000,0,40,0.5
289821,3,1,0,0,7700,1,69,4,6,0,1,1,1,2,3,1,7700,0,0,0.5
289824,1,1,0,0,14000,2,92,2,5,0,1,1,1,2,3,1,14000,0,0,0.5
289825,0,1,0,0,60000,1,62,1,1,0,1,1,1,2,3,1,60000,0,0,0.5
289825,0,1,0,0,60000,2,59,2,1,0,1,1,1,2,3,1,60000,0,0,0.5
289826,4,1,0,0,43000,2,92,3,5,0,1,1,2,1,3,1,43000,0,0,0.5
289827,0,1,0,0,139400,1,64,3,4,0,1,1,1,2,3,1,19500,0,0,0.5
289828,0,1,0,0,28200,2,62,4,5,0,1,1,1,2,3,1,28200,0,0,0.5
289829,4,1,0,0,268000,2,49,2,6,0,1,1,2,1,1,2,18000,0,65,0.5
289829,4,1,0,0,268000,1,50,2,5,0,1,1,2,1,1,2,18000,0,60,0.5
289831,0,1,0,0,70000,1,47,3,1,0,1,1,1,2,1,2,70000,0,50,0.5
289831,0,1,0,0,70000,2,49,1,1,0,1,1,1,2,3,1,70000,0,0,0.5
289833,2,2,0,1800,25100,2,66,4,6,0,1,1,1,2,3,1,25100,0,0,0.5
289834,4,1,0,0,18000,1,71,1,4,0,1,1,2,1,3,1,18000,0,0,0.5
289836,3,2,0,1000,67400,2,48,4,1,0,1,1,2,1,1,2,67400,0,40,0.5
289836,3,2,0,1000,67400,1,49,4,1,0,1,1,2,1,1,2,67400,0,40,0.5
289836,3,2,0,1000,67400,2,11,1,6,0,1,1,2,1,0,0,67400,99999,0,0.5
289836,3,2,0,1000,67400,1,7,1,6,0,1,1,2,1,0,0,67400,99999,0,0.5
289837,1,1,0,0,34000,2,27,4,6,1,1,1,1,1,1,2,34000,0,40,0.5
289837,1,1,0,0,34000,2,22,1,6,1,1,1,1,1,1,2,34000,0,20,0.5
289837,1,1,0,0,34000,1,16,2,6,1,1,1,1,1,3,1,34000,0,0,0.5
289838,3,1,2,0,52000,2,62,4,4,0,1,1,1,2,1,2,52000,0,40,0.5
289840,4,2,0,530,7130,2,21,3,6,0,1,1,1,2,3,1,7130,0,20,0.5
289840,4,2,0,530,7130,2,20,2,6,0,1,1,1,2,3,1,7130,0,8,0.5
289842,1,1,0,0,51140,1,53,2,4,0,1,1,1,2,1,2,51140,0,40,0.5
289842,1,1,0,0,51140,1,88,4,5,0,1,1,1,2,3,1,51140,0,0,0.5
289843,0,1,0,0,62100,1,76,4,1,0,1,1,1,2,3,1,62100,0,0,0.5
289843,0,1,0,0,62100,2,70,1,1,0,1,1,1,2,3,1,62100,0,0,0.5
289844,4,2,0,800,40510,2,24,2,6,0,2,1,1,2,1,2,40510,0,42,0.5
289846,0,2,0,650,16100,1,70,4,4,0,1,1,2,1,3,1,16100,0,0,0.5
289847,4,1,0,0,10000,2,82,2,4,0,1,1,1,2,3,1,10000,0,0,0.5
289852,0,2,0,350,19960,1,24,4,6,0,1,1,1,2,1,2,19900,0,50,0.5
289852,0,2,0,350,19960,2,22,4,6,0,1,1,1,2,1,2,19900,0,40,0.5
289852,0,2,0,350,19960,2,4,1,6,0,1,1,1,2,0,0,19900,99999,0,0.5
289853,3,2,0,1100,61400,1,34,3,1,0,1,1,1,2,1,2,61400,0,40,0.5
289853,3,2,0,1100,61400,2,37,3,1,0,1,1,1,2,3,1,61400,0,0,0.5
289853,3,2,0,1100,61400,1,16,4,6,0,1,1,1,2,3,1,61400,0,0,0.5
289853,3,2,0,1100,61400,1,10,2,6,0,1,1,1,2,0,0,61400,99999,0,0.5
289853,3,2,0,1100,61400,2,65,1,4,0,1,1,1,2,3,1,61400,0,0,0.5
289854,1,2,0,280,18000,1,81,1,3,0,1,1,2,1,3,1,18000,0,0,0.5
289856,0,1,0,0,8000,2,53,2,6,0,1,1,1,2,3,1,8000,0,0,0.5
289856,0,1,0,0,8000,2,15,2,6,0,1,1,1,2,0,0,8000,0,0,0.5
289856,0,1,0,0,8000,1,13,2,6,0,1,1,1,2,0,0,8000,99999,0,0.5
289857,4,1,0,0,46700,2,58,1,5,0,1,1,1,2,1,2,46700,0,40,0.5
289858,3,2,0,1800,44800,2,50,1,1,0,1,1,2,1,3,1,44800,0,0,0.5
289858,3,2,0,1800,44800,1,46,3,1,0,1,1,2,1,1,2,44800,0,40,0.5
289859,3,1,1,0,53900,2,75,4,5,0,1,1,1,2,3,1,53900,0,0,0.5
289860,4,2,0,250,25000,1,58,1,2,0,1,1,2,1,1,2,25000,0,40,0.5
289863,3,1,0,0,60000,2,58,4,1,0,2,1,1,2,1,2,60000,0,45,0.5
289863,3,1,0,0,60000,1,60,1,1,0,1,1,1,2,2,2,60000,0,80,0.5
289864,0,2,0,300,26200,1,50,3,4,0,1,1,1,2,2,2,26200,0,40,0.5
289864,0,2,0,300,26200,2,49,1,5,0,1,1,1,2,3,1,26200,0,0,0.5
